distribution_id,distribution_date,site,households_served,meals_served
695,2025-09-06,Riverside Centre,70,350
696,2025-06-24,Mobile Unit,48,192
697,2025-02-01,North Hub,15,30
698,2025-05-16,Riverside Centre,36,144
699,2025-07-27,Mobile Unit,18,72
700,2025-07-23,East Community Hall,54,270
701,2025-05-30,North Hub,77,308
702,2025-06-19,East Community Hall,76,152
703,2025-08-04,Riverside Centre,68,272
704,2025-01-25,Riverside Centre,51,102
705,2025-05-15,North Hub,14,56
706,2025-07-12,Mobile Unit,13,39
707,2025-03-20,Riverside Centre,59,118
708,2025-01-22,East Community Hall,35,70
709,2025-05-24,North Hub,32,128
710,2025-05-23,Riverside Centre,21,105
711,2025-07-04,Riverside Centre,77,154
712,2025-04-16,Riverside Centre,65,325
713,2025-02-26,Mobile Unit,26,78
714,2025-08-20,Riverside Centre,76,304
715,2025-06-25,Mobile Unit,81,324
716,2025-08-27,Mobile Unit,85,170
717,2025-01-07,East Community Hall,27,54
718,2025-05-26,East Community Hall,28,112
719,2025-03-24,North Hub,52,208
720,2025-05-28,Riverside Centre,72,144
721,2025-03-28,East Community Hall,44,132
722,2025-09-04,North Hub,65,195
723,2025-01-19,North Hub,73,292
724,2025-06-21,Riverside Centre,51,204
725,2025-05-16,Mobile Unit,79,237
726,2025-03-28,Riverside Centre,63,252
727,2025-02-23,Mobile Unit,77,154
728,2025-07-13,East Community Hall,39,78
729,2025-07-11,East Community Hall,39,156
730,2025-06-04,Mobile Unit,22,88
731,2025-07-20,Mobile Unit,13,52
732,2025-09-02,East Community Hall,10,20
733,2025-08-06,North Hub,45,180
734,2025-07-13,Mobile Unit,30,150
735,2025-09-04,Riverside Centre,81,243
736,2025-04-05,Riverside Centre,50,200
737,2025-08-24,North Hub,24,48
738,2025-06-07,East Community Hall,75,150
739,2025-07-20,Mobile Unit,35,70
740,2025-05-16,North Hub,54,162
741,2025-02-07,East Community Hall,30,60
742,2025-08-08,Mobile Unit,68,272
743,2025-08-02,Riverside Centre,75,300
744,2025-08-13,North Hub,24,96
745,2025-03-10,East Community Hall,78,156
746,2025-03-03,North Hub,38,152
747,2025-02-28,North Hub,78,234
748,2025-08-28,North Hub,20,40
749,2025-09-03,North Hub,58,116
750,2025-01-02,Riverside Centre,81,243
751,2025-01-16,East Community Hall,62,186
752,2025-06-12,North Hub,12,48
753,2025-04-23,East Community Hall,35,140
754,2025-01-04,Mobile Unit,29,58
755,2025-06-08,Riverside Centre,64,128
756,2025-04-07,Riverside Centre,84,168
757,2025-06-25,Riverside Centre,17,68
758,2025-04-11,East Community Hall,82,246
759,2025-02-15,Mobile Unit,16,48
760,2025-05-14,Mobile Unit,51,255
761,2025-06-08,Mobile Unit,36,72
762,2025-03-02,Riverside Centre,26,104
763,2025-01-30,North Hub,79,237
764,2025-02-26,Mobile Unit,50,150
765,2025-03-30,North Hub,27,135
766,2025-03-27,East Community Hall,49,196
767,2025-01-25,East Community Hall,55,110
768,2025-07-23,East Community Hall,13,26
769,2025-08-28,North Hub,22,44
770,2025-01-07,Mobile Unit,81,243
771,2025-06-18,Riverside Centre,16,80
772,2025-05-16,Mobile Unit,38,76
773,2025-01-11,Mobile Unit,84,252
774,2025-04-21,Mobile Unit,80,240
775,2025-03-16,North Hub,60,240
776,2025-07-21,East Community Hall,57,285
777,2025-05-30,Mobile Unit,83,415
778,2025-06-12,Mobile Unit,15,45
779,2025-01-06,East Community Hall,33,99
780,2025-07-19,Mobile Unit,81,324
781,2025-07-24,Mobile Unit,50,150
782,2025-02-26,Riverside Centre,37,185
783,2025-05-24,Mobile Unit,54,216
784,2025-07-23,Riverside Centre,70,140
785,2025-04-20,Mobile Unit,65,260
786,2025-08-17,East Community Hall,75,225
787,2025-05-19,East Community Hall,47,188
788,2025-03-10,North Hub,51,102
789,2025-07-31,North Hub,78,390
790,2025-08-16,East Community Hall,66,198
791,2025-06-20,East Community Hall,48,96
792,2025-03-06,Riverside Centre,57,114
793,2025-09-07,Mobile Unit,31,62
794,2025-03-17,East Community Hall,34,136
795,2025-07-25,Riverside Centre,69,207
796,2025-02-08,North Hub,58,290
797,2025-08-04,Riverside Centre,20,80
798,2025-07-12,East Community Hall,17,51
799,2025-01-18,Mobile Unit,59,177
800,2025-03-06,East Community Hall,34,102
801,2025-08-14,Mobile Unit,72,144
802,2025-04-28,East Community Hall,11,55
803,2025-04-13,Riverside Centre,50,200
804,2025-05-17,North Hub,71,355
805,2025-04-10,Riverside Centre,12,48
806,2025-07-16,Riverside Centre,71,213
807,2025-01-27,North Hub,32,96
808,2025-04-08,East Community Hall,79,395
809,2025-07-20,North Hub,31,155
810,2025-08-09,East Community Hall,12,48
811,2025-01-06,Riverside Centre,83,332
812,2025-03-17,East Community Hall,60,240
813,2025-01-02,North Hub,80,320
814,2025-08-05,North Hub,60,120
815,2025-03-05,Riverside Centre,39,117
816,2025-03-28,Mobile Unit,64,128
817,2025-03-10,East Community Hall,79,395
818,2025-01-18,Mobile Unit,34,68
819,2025-01-13,East Community Hall,63,189
820,2025-03-16,East Community Hall,28,84
821,2025-05-18,East Community Hall,32,96
822,2025-07-14,Mobile Unit,74,370
823,2025-04-08,North Hub,67,335
824,2025-07-28,Riverside Centre,82,328
825,2025-06-21,East Community Hall,75,225
826,2025-02-26,East Community Hall,35,70
827,2025-07-27,Riverside Centre,18,72
828,2025-03-28,Riverside Centre,48,240
829,2025-04-11,North Hub,79,395
830,2025-03-05,Mobile Unit,12,48
831,2025-02-13,North Hub,61,183
832,2025-06-24,East Community Hall,76,304
833,2025-06-04,Mobile Unit,28,112
834,2025-06-27,North Hub,17,34
835,2025-03-23,East Community Hall,32,96
836,2025-03-28,Mobile Unit,12,60
837,2025-07-31,North Hub,42,84
838,2025-03-18,East Community Hall,19,76
839,2025-06-13,Mobile Unit,77,231
840,2025-08-07,Riverside Centre,15,45
841,2025-05-15,Riverside Centre,76,380
842,2025-07-12,East Community Hall,36,144
843,2025-01-13,North Hub,69,207
844,2025-07-21,Mobile Unit,56,280
845,2025-06-20,East Community Hall,18,90
846,2025-06-17,Riverside Centre,32,128
847,2025-03-04,Mobile Unit,59,177
848,2025-04-28,East Community Hall,30,60
849,2025-02-24,Mobile Unit,61,305
850,2025-01-14,Mobile Unit,38,114
851,2025-06-05,East Community Hall,26,104
852,2025-06-30,Riverside Centre,65,260
853,2025-07-09,Mobile Unit,18,90
854,2025-02-24,Riverside Centre,73,146
855,2025-06-03,Mobile Unit,61,183
856,2025-03-07,North Hub,89,178
857,2025-05-17,North Hub,74,296
858,2025-06-18,Mobile Unit,20,80
859,2025-06-04,Mobile Unit,69,138
860,2025-05-31,Mobile Unit,22,110
861,2025-02-13,North Hub,79,237
862,2025-02-19,Mobile Unit,85,255
863,2025-07-23,Mobile Unit,14,56
864,2025-04-25,Mobile Unit,67,201
865,2025-06-16,North Hub,75,225
866,2025-06-14,North Hub,69,138
867,2025-09-04,North Hub,61,183
868,2025-03-16,Mobile Unit,75,300
869,2025-01-24,North Hub,26,130
870,2025-03-31,North Hub,74,296
871,2025-07-18,Mobile Unit,30,120
872,2025-04-03,Riverside Centre,40,120
873,2025-07-21,East Community Hall,56,280
874,2025-05-23,Mobile Unit,42,126
875,2025-07-03,North Hub,11,22
876,2025-04-05,Mobile Unit,28,140
877,2025-04-10,Mobile Unit,13,52
878,2025-01-25,North Hub,19,38
879,2025-02-01,Riverside Centre,81,162
880,2025-07-08,Riverside Centre,54,162
881,2025-03-04,Riverside Centre,12,24
882,2025-07-29,Mobile Unit,40,200
883,2025-02-06,Riverside Centre,65,130
884,2025-08-29,Mobile Unit,69,207
885,2025-08-06,Riverside Centre,72,216
886,2025-03-21,Riverside Centre,75,150
887,2025-02-26,East Community Hall,23,115
888,2025-06-28,Mobile Unit,80,320
889,2025-05-04,North Hub,67,335
890,2025-01-23,Mobile Unit,77,308
891,2025-05-27,North Hub,17,85
892,2025-05-29,East Community Hall,39,195
893,2025-03-10,Mobile Unit,86,344
894,2025-06-07,North Hub,28,112
895,2025-04-28,North Hub,69,207
896,2025-02-24,Mobile Unit,23,46
897,2025-06-04,Riverside Centre,10,30
898,2025-06-10,East Community Hall,56,168
899,2025-04-17,East Community Hall,34,170
900,2025-05-24,East Community Hall,52,260
901,2025-08-28,North Hub,68,204
902,2025-07-09,Mobile Unit,81,405
903,2025-02-01,Mobile Unit,39,195
904,2025-08-25,Riverside Centre,77,231
905,2025-02-18,Mobile Unit,89,445
906,2025-07-18,North Hub,20,100
907,2025-04-08,East Community Hall,20,80
908,2025-04-23,North Hub,26,78
909,2025-05-05,Riverside Centre,48,240
910,2025-04-28,Riverside Centre,31,124
911,2025-07-25,North Hub,73,146
912,2025-04-27,East Community Hall,46,138
913,2025-07-27,Mobile Unit,50,100
914,2025-07-02,Riverside Centre,49,98
915,2025-04-09,East Community Hall,89,356
916,2025-07-28,Mobile Unit,72,360
917,2025-06-28,East Community Hall,74,296
918,2025-02-16,North Hub,86,172
919,2025-04-29,North Hub,60,240
920,2025-02-20,East Community Hall,38,114
921,2025-03-19,Riverside Centre,83,166
922,2025-08-23,North Hub,73,365
923,2025-06-17,Mobile Unit,21,84
924,2025-08-09,Riverside Centre,42,126
925,2025-02-12,Riverside Centre,27,135
926,2025-05-23,East Community Hall,87,174
927,2025-05-05,East Community Hall,67,335
928,2025-04-02,North Hub,36,144
929,2025-05-18,Mobile Unit,25,50
930,2025-06-15,East Community Hall,15,60
931,2025-05-20,East Community Hall,76,228
932,2025-09-02,Riverside Centre,21,84
933,2025-03-10,East Community Hall,54,162
934,2025-04-21,North Hub,35,70
935,2025-03-14,Mobile Unit,65,260
936,2025-03-23,East Community Hall,71,355
937,2025-07-08,Mobile Unit,78,390
938,2025-04-16,North Hub,85,425
939,2025-02-10,Mobile Unit,28,112
940,2025-04-29,Riverside Centre,51,255
941,2025-03-16,Mobile Unit,65,325
942,2025-03-29,Riverside Centre,59,177
943,2025-04-25,North Hub,34,68
944,2025-03-08,North Hub,74,296
945,2025-02-13,East Community Hall,31,93
946,2025-06-19,North Hub,21,63
947,2025-05-06,Riverside Centre,23,92
948,2025-04-06,Mobile Unit,68,272
949,2025-03-22,North Hub,16,32
950,2025-01-12,North Hub,43,129
951,2025-07-03,Riverside Centre,42,84
952,2025-02-19,Mobile Unit,49,147
953,2025-06-15,Mobile Unit,59,177
954,2025-01-21,North Hub,74,296
955,2025-01-03,Riverside Centre,19,95
956,2025-07-16,East Community Hall,68,340
957,2025-05-28,North Hub,62,124
958,2025-08-27,East Community Hall,88,352
959,2025-04-11,Riverside Centre,71,284
960,2025-08-15,Riverside Centre,65,260
961,2025-01-01,Mobile Unit,51,255
962,2025-04-23,Riverside Centre,17,34
963,2025-01-08,Riverside Centre,36,108
964,2025-04-07,Mobile Unit,52,104
965,2025-05-11,North Hub,72,144
966,2025-03-04,Riverside Centre,12,60
967,2025-01-14,Riverside Centre,87,348
968,2025-04-29,Riverside Centre,86,172
969,2025-03-11,Riverside Centre,23,115
970,2025-04-04,East Community Hall,24,72
971,2025-03-20,East Community Hall,19,95
972,2025-01-23,Riverside Centre,15,75
973,2025-04-03,Mobile Unit,57,285
974,2025-03-06,Riverside Centre,72,288
975,2025-05-06,Mobile Unit,41,205
976,2025-01-27,Riverside Centre,50,250
977,2025-01-22,North Hub,54,162
978,2025-08-18,North Hub,60,240
979,2025-04-17,East Community Hall,28,112
980,2025-07-18,Mobile Unit,39,78
981,2025-03-23,Mobile Unit,36,108
982,2025-01-26,North Hub,64,256
983,2025-03-06,North Hub,59,236
984,2025-03-04,Riverside Centre,18,90
985,2025-06-29,Riverside Centre,56,280
986,2025-04-22,Mobile Unit,50,150
987,2025-07-01,Riverside Centre,33,132
988,2025-02-23,Riverside Centre,58,116
989,2025-02-27,Mobile Unit,75,300
990,2025-05-18,North Hub,19,95
991,2025-08-25,Mobile Unit,82,410
992,2025-04-05,Riverside Centre,89,267
993,2025-08-26,East Community Hall,54,216
994,2025-08-10,North Hub,15,75
995,2025-06-30,East Community Hall,19,57
996,2025-05-15,North Hub,40,200
997,2025-07-06,North Hub,83,166
998,2025-03-21,Mobile Unit,87,174
999,2025-07-02,North Hub,39,195
1000,2025-01-24,North Hub,72,360
1001,2025-03-01,Riverside Centre,47,141
1002,2025-02-19,North Hub,19,57
1003,2025-06-19,East Community Hall,17,68
1004,2025-02-07,East Community Hall,69,138
1005,2025-01-20,East Community Hall,68,340
1006,2025-07-25,Mobile Unit,89,445
1007,2025-07-29,North Hub,72,288
1008,2025-06-20,Mobile Unit,72,216
1009,2025-08-21,East Community Hall,85,170
1010,2025-07-20,East Community Hall,71,355
1011,2025-08-22,Riverside Centre,73,292
1012,2025-05-07,Mobile Unit,48,192
1013,2025-07-05,North Hub,25,50
1014,2025-04-07,Mobile Unit,75,375
1015,2025-09-07,Riverside Centre,24,72
1016,2025-07-14,North Hub,55,165
1017,2025-03-17,East Community Hall,66,330
1018,2025-04-08,Mobile Unit,78,234
1019,2025-03-05,East Community Hall,51,153
1020,2025-07-11,Riverside Centre,70,350
1021,2025-04-13,Mobile Unit,37,148
1022,2025-04-06,Mobile Unit,59,177
1023,2025-05-31,North Hub,24,96
1024,2025-06-15,North Hub,85,170
1025,2025-04-13,Mobile Unit,84,420
1026,2025-01-24,Riverside Centre,67,268
1027,2025-06-09,North Hub,20,60
1028,2025-03-17,East Community Hall,48,144
1029,2025-07-15,East Community Hall,30,150
1030,2025-07-16,North Hub,72,216
1031,2025-07-31,North Hub,66,264
1032,2025-02-01,North Hub,28,140
1033,2025-03-11,East Community Hall,13,52
1034,2025-01-17,Riverside Centre,38,76
1035,2025-07-20,North Hub,72,288
1036,2025-04-20,East Community Hall,81,324
1037,2025-06-08,Riverside Centre,26,130
1038,2025-01-25,Riverside Centre,74,148
1039,2025-06-05,Mobile Unit,76,380
1040,2025-03-26,Mobile Unit,84,420
1041,2025-07-11,East Community Hall,63,315
1042,2025-08-21,Riverside Centre,83,332
1043,2025-07-27,Mobile Unit,58,116
1044,2025-02-27,North Hub,35,105
1045,2025-07-24,North Hub,19,57
1046,2025-09-05,North Hub,13,39
1047,2025-06-24,Riverside Centre,86,258
1048,2025-05-07,Mobile Unit,30,90
1049,2025-08-10,Riverside Centre,30,60
1050,2025-04-05,Riverside Centre,57,285
1051,2025-01-24,Mobile Unit,33,99
1052,2025-07-04,Riverside Centre,73,292
1053,2025-06-03,Mobile Unit,48,144
1054,2025-08-05,Mobile Unit,89,178
1055,2025-06-02,East Community Hall,41,164
1056,2025-05-31,Riverside Centre,81,162
1057,2025-01-31,East Community Hall,49,147
1058,2025-01-14,Riverside Centre,12,36
1059,2025-01-28,Mobile Unit,60,180
1060,2025-05-17,East Community Hall,78,234
1061,2025-07-13,Riverside Centre,25,75
1062,2025-02-09,Mobile Unit,48,96
1063,2025-08-25,Mobile Unit,73,219
1064,2025-05-26,North Hub,50,150
1065,2025-03-01,North Hub,24,96
1066,2025-03-22,North Hub,22,110
1067,2025-03-30,North Hub,16,48
1068,2025-03-16,Mobile Unit,84,252
1069,2025-04-30,North Hub,55,110
1070,2025-05-28,East Community Hall,85,340
1071,2025-07-05,North Hub,47,141
1072,2025-07-07,Riverside Centre,12,36
1073,2025-03-28,East Community Hall,87,435
1074,2025-06-21,Riverside Centre,24,120
1075,2025-07-30,North Hub,50,100
1076,2025-06-29,Mobile Unit,20,60
1077,2025-02-15,Riverside Centre,83,415
1078,2025-03-22,Mobile Unit,41,82
1079,2025-03-22,Mobile Unit,72,288
1080,2025-02-03,Mobile Unit,51,204
1081,2025-06-12,East Community Hall,87,348
1082,2025-03-15,North Hub,34,136
1083,2025-02-20,Riverside Centre,84,168
1084,2025-06-20,East Community Hall,14,70
1085,2025-08-08,Mobile Unit,13,65
1086,2025-07-10,North Hub,78,312
1087,2025-08-17,Riverside Centre,37,111
1088,2025-03-25,Mobile Unit,64,192
1089,2025-01-15,East Community Hall,69,138
1090,2025-04-20,East Community Hall,64,256
1091,2025-09-02,Riverside Centre,74,370
1092,2025-05-08,Mobile Unit,79,158
1093,2025-01-24,East Community Hall,47,235
1094,2025-08-12,East Community Hall,89,356
1095,2025-08-24,Mobile Unit,35,175
1096,2025-02-09,North Hub,77,385
1097,2025-04-06,East Community Hall,84,252
1098,2025-06-28,East Community Hall,73,365
1099,2025-01-08,East Community Hall,66,132
1100,2025-05-26,East Community Hall,68,204
1101,2025-01-28,Mobile Unit,56,280
1102,2025-01-22,Mobile Unit,71,355
1103,2025-06-06,Riverside Centre,61,244
1104,2025-04-07,East Community Hall,51,255
1105,2025-04-22,North Hub,25,100
1106,2025-02-12,North Hub,66,264
1107,2025-05-29,East Community Hall,12,36
1108,2025-05-18,Mobile Unit,40,200
1109,2025-01-24,Riverside Centre,10,30
1110,2025-07-02,Mobile Unit,66,198
1111,2025-08-04,East Community Hall,80,240
1112,2025-05-24,East Community Hall,70,280
1113,2025-03-20,North Hub,52,156
1114,2025-04-19,North Hub,35,70
1115,2025-08-31,Riverside Centre,85,255
1116,2025-07-06,Mobile Unit,26,104
1117,2025-04-05,Riverside Centre,21,42
1118,2025-06-02,North Hub,62,124
1119,2025-03-03,Mobile Unit,78,312
1120,2025-06-02,East Community Hall,83,249
1121,2025-07-25,North Hub,38,152
1122,2025-08-23,North Hub,19,57
1123,2025-07-25,North Hub,65,195
1124,2025-03-15,East Community Hall,10,20
1125,2025-07-07,North Hub,19,76
1126,2025-03-17,East Community Hall,78,156
1127,2025-07-21,East Community Hall,86,258
1128,2025-07-31,East Community Hall,46,92
1129,2025-08-22,North Hub,70,140
1130,2025-07-23,East Community Hall,16,32
1131,2025-08-02,East Community Hall,62,186
1132,2025-04-07,North Hub,81,324
1133,2025-08-21,Riverside Centre,67,201
1134,2025-04-15,Riverside Centre,56,112
1135,2025-07-25,North Hub,33,132
1136,2025-04-21,Riverside Centre,58,174
1137,2025-03-17,Mobile Unit,71,355
1138,2025-05-15,East Community Hall,75,150
1139,2025-06-20,Riverside Centre,42,126
1140,2025-07-08,East Community Hall,84,336
1141,2025-02-12,North Hub,53,265
1142,2025-05-04,Riverside Centre,16,48
1143,2025-05-05,East Community Hall,34,170
1144,2025-03-16,Riverside Centre,36,108
1145,2025-02-08,North Hub,19,76
1146,2025-08-10,North Hub,57,285
1147,2025-08-26,Riverside Centre,53,106
1148,2025-01-31,North Hub,17,85
1149,2025-08-23,Mobile Unit,43,129
1150,2025-04-19,East Community Hall,41,205
1151,2025-03-21,East Community Hall,84,252
1152,2025-03-25,North Hub,88,352
1153,2025-05-02,Mobile Unit,19,38
1154,2025-07-11,Riverside Centre,40,200
1155,2025-01-17,Mobile Unit,40,80
1156,2025-06-18,North Hub,43,215
1157,2025-07-18,North Hub,49,245
1158,2025-03-11,East Community Hall,87,261
1159,2025-07-18,Riverside Centre,27,81
1160,2025-04-24,East Community Hall,24,48
1161,2025-06-26,Mobile Unit,77,385
1162,2025-07-17,East Community Hall,72,144
1163,2025-05-08,North Hub,83,332
1164,2025-02-11,Mobile Unit,70,140
1165,2025-08-06,North Hub,69,345
1166,2025-08-22,North Hub,89,178
1167,2025-04-22,East Community Hall,76,304
1168,2025-04-23,Riverside Centre,40,160
1169,2025-05-13,East Community Hall,67,134
1170,2025-03-20,East Community Hall,69,207
1171,2025-07-13,North Hub,54,162
1172,2025-07-05,East Community Hall,49,196
1173,2025-01-15,Riverside Centre,58,290
1174,2025-06-21,North Hub,41,205
1175,2025-04-26,East Community Hall,74,370
1176,2025-08-25,North Hub,55,275
1177,2025-05-18,North Hub,76,228
1178,2025-06-04,Mobile Unit,26,78
1179,2025-04-01,East Community Hall,39,117
1180,2025-07-29,Mobile Unit,52,104
1181,2025-08-19,Mobile Unit,62,186
1182,2025-01-25,East Community Hall,80,240
1183,2025-05-10,East Community Hall,76,228
1184,2025-04-14,Mobile Unit,79,316
1185,2025-06-27,North Hub,46,184
1186,2025-03-18,Riverside Centre,66,132
1187,2025-04-06,Mobile Unit,54,270
1188,2025-01-10,East Community Hall,51,102
1189,2025-04-20,Riverside Centre,62,310
1190,2025-05-25,North Hub,71,284
1191,2025-04-09,Riverside Centre,68,204
1192,2025-03-05,Mobile Unit,84,420
1193,2025-03-17,Riverside Centre,41,164
1194,2025-06-21,Mobile Unit,51,204
1195,2025-05-15,Mobile Unit,59,177
1196,2025-04-29,Riverside Centre,78,312
1197,2025-06-16,North Hub,59,177
1198,2025-04-09,Mobile Unit,61,244
1199,2025-03-17,Mobile Unit,80,160
1200,2025-02-01,Riverside Centre,48,192
1201,2025-07-14,Riverside Centre,75,300
1202,2025-06-02,East Community Hall,22,110
1203,2025-01-02,East Community Hall,29,58
1204,2025-01-20,North Hub,44,220
1205,2025-02-17,North Hub,52,260
1206,2025-01-29,Mobile Unit,63,126
1207,2025-04-23,Riverside Centre,16,64
1208,2025-09-04,Riverside Centre,66,330
1209,2025-03-20,Mobile Unit,46,184
1210,2025-01-02,Riverside Centre,86,172
1211,2025-02-02,Riverside Centre,84,252
1212,2025-05-04,Mobile Unit,78,156
1213,2025-03-29,North Hub,76,152
1214,2025-07-29,Mobile Unit,47,94
1215,2025-05-05,East Community Hall,65,325
1216,2025-07-14,Riverside Centre,17,34
1217,2025-02-13,Mobile Unit,66,330
1218,2025-08-14,Mobile Unit,14,28
1219,2025-07-22,Riverside Centre,19,57
1220,2025-07-02,East Community Hall,48,240
1221,2025-08-08,North Hub,11,33
1222,2025-05-30,Mobile Unit,36,108
1223,2025-06-27,East Community Hall,64,256
1224,2025-06-25,Mobile Unit,75,300
1225,2025-03-27,Mobile Unit,22,66
1226,2025-01-01,Riverside Centre,76,228
1227,2025-09-05,Mobile Unit,24,96
1228,2025-03-04,Riverside Centre,64,256
1229,2025-05-25,Riverside Centre,45,225
1230,2025-01-10,North Hub,66,330
1231,2025-01-14,Mobile Unit,57,285
1232,2025-01-05,North Hub,25,100
1233,2025-01-15,North Hub,16,64
1234,2025-07-14,East Community Hall,65,325
1235,2025-08-13,Riverside Centre,52,208
1236,2025-05-17,East Community Hall,70,350
1237,2025-05-01,Mobile Unit,78,312
1238,2025-08-09,Mobile Unit,10,50
1239,2025-08-17,North Hub,31,124
1240,2025-02-16,Mobile Unit,70,140
1241,2025-03-17,North Hub,79,237
1242,2025-02-20,North Hub,78,390
1243,2025-08-07,East Community Hall,49,147
1244,2025-01-18,Riverside Centre,25,75
1245,2025-06-20,Riverside Centre,14,56
1246,2025-02-27,North Hub,17,85
1247,2025-02-04,Mobile Unit,22,110
1248,2025-09-06,North Hub,60,240
1249,2025-03-21,East Community Hall,81,243
1250,2025-02-12,Riverside Centre,47,188
1251,2025-02-23,Mobile Unit,80,320
1252,2025-07-29,Riverside Centre,30,120
1253,2025-03-23,Riverside Centre,28,112
1254,2025-08-24,Riverside Centre,81,162
1255,2025-04-13,East Community Hall,54,108
1256,2025-03-27,Mobile Unit,20,60
1257,2025-03-22,Riverside Centre,72,144
1258,2025-02-23,Mobile Unit,73,146
1259,2025-04-09,Riverside Centre,47,141
1260,2025-04-07,Mobile Unit,77,308
1261,2025-04-28,North Hub,81,405
1262,2025-05-24,Mobile Unit,66,198
1263,2025-09-04,East Community Hall,54,216
1264,2025-06-26,Mobile Unit,82,328
1265,2025-01-05,East Community Hall,79,395
1266,2025-03-11,Mobile Unit,17,68
1267,2025-02-24,East Community Hall,26,104
1268,2025-04-09,Mobile Unit,67,134
1269,2025-02-12,Mobile Unit,86,172
1270,2025-08-15,Mobile Unit,75,225
1271,2025-07-14,Mobile Unit,88,176
1272,2025-06-10,Riverside Centre,27,81
1273,2025-02-21,East Community Hall,44,88
1274,2025-01-09,North Hub,18,90
1275,2025-02-13,North Hub,83,249
1276,2025-09-05,East Community Hall,48,192
1277,2025-05-27,Riverside Centre,63,252
1278,2025-04-02,East Community Hall,26,52
1279,2025-04-01,North Hub,29,87
1280,2025-01-25,East Community Hall,71,142
1281,2025-09-06,Riverside Centre,72,144
1282,2025-05-28,North Hub,38,190
1283,2025-05-09,Riverside Centre,14,70
1284,2025-05-23,East Community Hall,72,216
1285,2025-07-07,Riverside Centre,47,188
1286,2025-08-26,North Hub,64,128
1287,2025-08-06,Riverside Centre,44,220
1288,2025-05-20,Riverside Centre,53,212
1289,2025-07-13,East Community Hall,15,45
1290,2025-07-18,Mobile Unit,32,128
1291,2025-04-02,North Hub,57,114
1292,2025-09-07,Riverside Centre,33,165
1293,2025-07-21,North Hub,75,375
1294,2025-02-24,East Community Hall,66,132
1295,2025-05-19,Riverside Centre,46,138
1296,2025-05-10,North Hub,16,80
1297,2025-07-24,North Hub,77,385
1298,2025-08-28,Riverside Centre,67,335
1299,2025-05-31,Mobile Unit,62,310
1300,2025-06-25,North Hub,74,148
1301,2025-01-28,Riverside Centre,10,50
1302,2025-03-03,Mobile Unit,46,230
1303,2025-04-04,Riverside Centre,75,300
1304,2025-07-31,Mobile Unit,86,172
1305,2025-07-07,North Hub,78,156
1306,2025-04-26,Riverside Centre,36,180
1307,2025-08-30,Riverside Centre,12,48
1308,2025-08-22,East Community Hall,48,96
1309,2025-06-15,North Hub,14,70
1310,2025-02-14,North Hub,68,272
1311,2025-02-07,East Community Hall,14,28
1312,2025-07-08,East Community Hall,21,42
1313,2025-08-06,Riverside Centre,37,148
1314,2025-03-03,Mobile Unit,79,316
1315,2025-02-27,North Hub,53,265
1316,2025-01-09,East Community Hall,77,231
1317,2025-05-12,Mobile Unit,39,78
1318,2025-03-12,Riverside Centre,27,54
1319,2025-02-08,East Community Hall,40,200
1320,2025-06-24,Riverside Centre,54,162
1321,2025-08-07,Riverside Centre,31,93
1322,2025-01-03,North Hub,26,104
1323,2025-01-14,East Community Hall,20,80
1324,2025-04-15,North Hub,22,44
1325,2025-04-30,North Hub,11,44
1326,2025-02-17,East Community Hall,66,264
1327,2025-03-09,Mobile Unit,21,42
1328,2025-04-24,North Hub,36,180
1329,2025-01-03,Riverside Centre,81,162
1330,2025-02-24,Riverside Centre,26,52
1331,2025-02-19,Riverside Centre,25,50
1332,2025-06-01,East Community Hall,42,168
1333,2025-07-27,North Hub,40,200
1334,2025-05-03,East Community Hall,85,255
1335,2025-06-21,Riverside Centre,50,250
1336,2025-06-24,East Community Hall,35,140
1337,2025-02-22,North Hub,22,110
1338,2025-06-24,East Community Hall,67,268
1339,2025-03-27,North Hub,76,304
1340,2025-06-09,Mobile Unit,14,42
1341,2025-05-27,Mobile Unit,34,170
1342,2025-05-19,Mobile Unit,33,132
1343,2025-08-13,Riverside Centre,46,92
1344,2025-09-05,North Hub,44,88
1345,2025-01-05,North Hub,61,305
1346,2025-07-30,East Community Hall,71,142
1347,2025-05-01,East Community Hall,70,140
1348,2025-01-27,Riverside Centre,22,66
1349,2025-01-01,Mobile Unit,66,264
1350,2025-06-21,Mobile Unit,45,225
1351,2025-04-26,Mobile Unit,27,81
1352,2025-03-03,Mobile Unit,45,225
1353,2025-02-17,Mobile Unit,27,135
1354,2025-04-22,Riverside Centre,15,45
1355,2025-04-08,East Community Hall,54,162
1356,2025-07-03,North Hub,35,70
1357,2025-01-30,Riverside Centre,49,245
1358,2025-04-15,Riverside Centre,48,96
1359,2025-08-07,North Hub,73,219
1360,2025-02-11,Mobile Unit,19,38
1361,2025-07-02,East Community Hall,36,108
1362,2025-07-09,Riverside Centre,79,237
1363,2025-02-08,East Community Hall,24,72
1364,2025-06-28,North Hub,19,76
1365,2025-06-11,Riverside Centre,50,250
1366,2025-07-12,Mobile Unit,70,350
1367,2025-04-02,Riverside Centre,78,390
1368,2025-07-17,Mobile Unit,78,390
1369,2025-04-23,Mobile Unit,77,154
1370,2025-01-20,Mobile Unit,63,315
1371,2025-03-24,East Community Hall,36,108
1372,2025-04-05,Mobile Unit,40,80
1373,2025-02-05,Riverside Centre,81,243
