household_id,area,household_size,registration_date,support_needs
652,Hilltop,3,2025-04-29,Emergency
653,Southbank,6,2024-08-18,Dietary
654,Hilltop,6,2025-06-25,Accessibility
655,Eastfield,6,2024-07-21,Emergency
656,Southbank,1,2025-05-08,Emergency
657,Riverside,6,2025-01-29,Emergency
658,Southbank,1,2024-07-20,Emergency
659,Southbank,3,2024-12-27,Standard
660,Hilltop,2,2024-10-23,Standard
661,Northgate,4,2024-10-16,Accessibility
662,Eastfield,1,2025-04-01,Accessibility
663,Eastfield,3,2024-06-26,Standard
664,Hilltop,6,2024-10-02,Standard
665,Northgate,5,2024-06-27,Standard
666,Northgate,6,2025-06-19,Accessibility
667,Southbank,5,2024-08-13,Emergency
668,Southbank,4,2024-07-03,Standard
669,Northgate,4,2024-12-05,Accessibility
670,Northgate,3,2025-04-22,Dietary
671,Northgate,2,2024-07-01,Dietary
672,Eastfield,1,2024-06-03,Standard
673,Southbank,1,2024-07-27,Accessibility
674,Riverside,6,2025-02-09,Standard
675,Eastfield,5,2025-04-23,Standard
676,Riverside,4,2025-04-13,Accessibility
677,Hilltop,4,2024-11-04,Dietary
678,Northgate,6,2024-09-14,Dietary
679,Southbank,5,2024-06-15,Accessibility
680,Eastfield,6,2024-06-15,Emergency
681,Northgate,1,2025-03-31,Emergency
682,Hilltop,4,2024-07-23,Dietary
683,Southbank,1,2024-12-31,Emergency
684,Riverside,3,2024-11-25,Standard
685,Southbank,6,2024-11-14,Emergency
686,Southbank,3,2024-08-07,Accessibility
687,Hilltop,4,2025-02-25,Dietary
688,Eastfield,1,2025-02-10,Standard
689,Eastfield,3,2025-06-29,Dietary
690,Southbank,5,2024-12-03,Emergency
691,Riverside,1,2024-12-16,Dietary
692,Northgate,6,2024-10-10,Standard
693,Northgate,3,2025-05-10,Dietary
694,Hilltop,5,2024-06-13,Standard
695,Northgate,2,2025-01-25,Emergency
696,Eastfield,3,2024-08-16,Standard
697,Eastfield,3,2025-02-12,Accessibility
698,Eastfield,5,2024-08-12,Dietary
699,Hilltop,6,2024-11-12,Standard
700,Riverside,1,2025-03-03,Standard
701,Riverside,5,2024-09-23,Standard
702,Hilltop,3,2024-12-25,Emergency
703,Hilltop,3,2025-01-31,Emergency
704,Eastfield,2,2025-06-08,Accessibility
705,Southbank,5,2025-06-03,Emergency
706,Riverside,1,2025-01-11,Emergency
707,Hilltop,2,2025-04-13,Emergency
708,Eastfield,4,2025-01-18,Accessibility
709,Southbank,6,2025-05-31,Standard
710,Northgate,1,2025-03-14,Emergency
711,Northgate,1,2025-05-03,Dietary
712,Southbank,4,2024-12-07,Emergency
713,Riverside,2,2025-06-22,Dietary
714,Riverside,2,2024-06-10,Accessibility
715,Riverside,2,2024-07-15,Dietary
716,Northgate,4,2025-05-14,Emergency
717,Riverside,1,2025-05-29,Dietary
718,Eastfield,2,2024-08-29,Emergency
719,Northgate,5,2025-01-18,Emergency
720,Southbank,3,2025-04-22,Dietary
721,Southbank,1,2024-11-24,Emergency
722,Riverside,4,2024-09-27,Emergency
723,Hilltop,2,2025-05-23,Accessibility
724,Hilltop,1,2024-12-31,Dietary
725,Hilltop,6,2024-08-09,Accessibility
726,Hilltop,3,2024-08-29,Standard
727,Hilltop,3,2025-06-05,Standard
728,Southbank,4,2024-06-21,Dietary
729,Riverside,6,2024-06-10,Emergency
730,Riverside,3,2024-07-11,Dietary
731,Eastfield,4,2024-07-21,Accessibility
732,Hilltop,3,2025-06-15,Accessibility
733,Southbank,3,2025-01-12,Standard
734,Riverside,2,2025-06-10,Accessibility
735,Southbank,4,2024-06-09,Standard
736,Eastfield,2,2024-10-19,Standard
737,Riverside,2,2024-10-11,Emergency
738,Eastfield,3,2024-11-23,Accessibility
739,Southbank,4,2025-03-04,Standard
740,Riverside,4,2024-11-12,Dietary
741,Eastfield,4,2025-07-04,Dietary
742,Hilltop,3,2024-12-28,Accessibility
743,Southbank,5,2025-01-29,Accessibility
744,Southbank,2,2024-10-21,Dietary
745,Northgate,4,2024-11-04,Accessibility
746,Eastfield,5,2025-05-17,Emergency
747,Eastfield,4,2025-03-24,Accessibility
748,Southbank,3,2024-12-16,Emergency
749,Hilltop,1,2024-08-01,Emergency
750,Southbank,1,2024-08-26,Dietary
751,Eastfield,2,2025-06-22,Emergency
752,Riverside,4,2025-05-15,Emergency
753,Southbank,5,2024-11-05,Dietary
754,Riverside,1,2025-02-04,Emergency
755,Southbank,2,2024-09-14,Standard
756,Eastfield,4,2024-07-09,Standard
757,Hilltop,5,2025-03-22,Dietary
758,Southbank,6,2025-06-11,Dietary
759,Riverside,6,2024-08-17,Standard
760,Northgate,3,2025-01-02,Dietary
761,Northgate,4,2024-11-14,Dietary
762,Riverside,1,2025-01-09,Emergency
763,Riverside,4,2024-06-01,Emergency
764,Riverside,3,2025-01-20,Emergency
765,Eastfield,6,2024-08-21,Standard
766,Northgate,1,2024-10-19,Standard
767,Hilltop,4,2025-02-18,Accessibility
768,Northgate,3,2024-09-27,Accessibility
769,Northgate,5,2024-06-04,Standard
770,Southbank,2,2025-04-03,Emergency
771,Hilltop,5,2024-09-20,Dietary
772,Northgate,2,2024-07-05,Dietary
773,Hilltop,5,2024-09-10,Accessibility
774,Southbank,2,2025-01-10,Dietary
775,Hilltop,4,2025-04-17,Accessibility
776,Riverside,4,2025-03-21,Accessibility
777,Eastfield,6,2024-11-05,Standard
778,Southbank,6,2024-10-03,Accessibility
779,Hilltop,2,2025-02-06,Standard
780,Northgate,3,2025-05-22,Dietary
781,Hilltop,6,2024-11-08,Accessibility
782,Hilltop,3,2024-09-26,Standard
783,Northgate,5,2024-12-12,Standard
784,Northgate,2,2025-02-07,Accessibility
785,Northgate,4,2024-08-18,Dietary
786,Hilltop,5,2025-05-29,Dietary
787,Southbank,5,2025-01-15,Emergency
788,Riverside,2,2025-01-06,Accessibility
789,Riverside,1,2025-01-17,Standard
790,Riverside,1,2025-06-10,Dietary
791,Hilltop,4,2025-03-06,Standard
792,Eastfield,4,2025-03-11,Emergency
793,Northgate,2,2025-06-07,Dietary
794,Eastfield,6,2024-10-25,Accessibility
795,Riverside,3,2025-04-14,Standard
796,Riverside,4,2025-04-22,Accessibility
797,Eastfield,3,2024-11-22,Accessibility
798,Southbank,2,2025-05-07,Dietary
799,Northgate,1,2025-05-07,Standard
